FEATURE_ID,SVDATE,RES_PEDEST,RES_BRIDGE,RES_TUNNEL,RES_STEPS,RES_LIFT,BOROUGH,PHOTO1_URL,PHOTO2_URL,geometry,res_length_m
RWG290176,2018-03-28,1,0,0,0,0,Havering,https://cycleassetimages.data.tfl.gov.uk/RWG290176_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG290176_2.jpg,"list(c(0.1835618125, 0.1835612296, 0.1834936767, 51.5688851629, 51.5688855254, 51.5689499167))",8.60479073548212
RWG289864,2018-04-23,1,0,0,1,0,Redbridge,https://cycleassetimages.data.tfl.gov.uk/RWG289864_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG289864_2.jpg,"list(c(0.0343787155, 0.0344210926, 51.6028731295, 51.6029603317))",10.128528309771
RWG205413,2017-11-30,1,0,0,0,0,Croydon,https://cycleassetimages.data.tfl.gov.uk/RWG205413_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG205413_2.jpg,"list(c(-0.0564944704, -0.0566033766, 51.3921880322, 51.3921222005))",10.5206267535999
RWG205445,2017-12-17,1,0,1,0,0,Bromley,https://cycleassetimages.data.tfl.gov.uk/RWG205445_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG205445_2.jpg,"list(c(-0.0407134366, -0.0407576931, 51.4099759276, 51.4100367336))",7.42545895688276
RWG221314,2018-02-08,1,0,0,0,0,Newham,https://cycleassetimages.data.tfl.gov.uk/RWG221314_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG221314_2.jpg,"list(c(0.0221144573, 0.0222451978, 51.5426562174, 51.5425510808))",14.7790415635065
RWG205466,2018-02-01,1,0,0,0,0,Bromley,https://cycleassetimages.data.tfl.gov.uk/RWG205466_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG205466_2.jpg,"list(c(-0.0190530076, -0.0195284271, 51.3827783127, 51.382435496))",50.4149866949066
RWG205475,2018-02-02,1,0,0,0,0,Croydon,https://cycleassetimages.data.tfl.gov.uk/RWG205475_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG205475_2.jpg,"list(c(-0.0608015255, -0.0608489949, 51.3874836929, 51.3875905939))",12.3348206365781
RWG278786,2018-03-12,1,0,0,0,0,Croydon,https://cycleassetimages.data.tfl.gov.uk/RWG278786_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG278786_2.jpg,"list(c(-0.0440051473, -0.0441137376, 51.3870598358, 51.3872331604))",20.6935516199446
RWG205446,2018-01-31,1,0,0,0,0,Bromley,https://cycleassetimages.data.tfl.gov.uk/RWG205446_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG205446_2.jpg,"list(c(0.0705186962, 0.0706019681, 51.375689349, 51.3757756638))",11.2037448134299
RWG205469,2018-02-01,1,0,0,0,0,Bromley,https://cycleassetimages.data.tfl.gov.uk/RWG205469_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG205469_2.jpg,"list(c(-0.022532801, -0.0221628283, 51.3796354958, 51.3799670401))",44.9269251070757
RWG290136,2018-03-21,1,0,0,0,0,Redbridge,https://cycleassetimages.data.tfl.gov.uk/RWG290136_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG290136_2.jpg,"list(c(0.0432388377, 0.0434936493, 0.0439776424, 0.0450286475, 0.0451800489, 0.0452253163, 51.6119354966, 51.612172379, 51.6119869929, 51.611643335, 51.6115670349, 51.611469651))",177.695240788513
RWG290152,2018-03-22,1,0,0,0,0,Redbridge,https://cycleassetimages.data.tfl.gov.uk/RWG290152_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG290152_2.jpg,"list(c(0.0720158504, 0.0719090948, 51.5675050638, 51.5675575644))",9.40880804621559
RWG220151,2017-12-19,1,0,0,0,0,Croydon,https://cycleassetimages.data.tfl.gov.uk/RWG220151_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG220151_2.jpg,"list(c(-0.1145102293, -0.1143616167, 51.3801717044, 51.3801935292))",10.5957301913177
