FEATURE_ID,SVDATE,ASL_FDR,ASL_FDRLFT,ASL_FDCENT,ASL_FDRIGH,ASL_SHARED,ASL_COLOUR,BOROUGH,PHOTO1_URL,PHOTO2_URL,geometry
RWG184243,2017-11-08,1,1,0,0,0,GREEN,Greenwich,https://cycleassetimages.data.tfl.gov.uk/RWG184243_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG184243_2.jpg,"c(0.0006030147, 0.0006539663, 51.4838736011, 51.4838884363)"
RWG184248,2017-11-14,1,1,0,0,0,NONE,Greenwich,https://cycleassetimages.data.tfl.gov.uk/RWG184248_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG184248_2.jpg,"c(0.0728840919, 0.0728732105, 51.4907038532, 51.4907483803)"
RWG184292,2017-11-07,0,0,0,0,0,NONE,Greenwich,https://cycleassetimages.data.tfl.gov.uk/RWG184292_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG184292_2.jpg,"c(0.0282338385, 0.0281633844, 51.4899452561, 51.4899379092)"
RWG154269,2017-10-12,0,0,0,0,0,GREEN,Redbridge,https://cycleassetimages.data.tfl.gov.uk/RWG154269_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG154269_2.jpg,"c(0.0355767901, 0.0356423632, 51.6077574456, 51.6077622556)"
RWG154418,2017-11-07,0,0,0,0,0,NONE,Newham,https://cycleassetimages.data.tfl.gov.uk/RWG154418_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG154418_2.jpg,"c(-0.0076089489, -0.0076473046, 51.5333480987, 51.5333528074)"
RWG154421,2017-11-08,1,1,0,0,0,NONE,Newham,https://cycleassetimages.data.tfl.gov.uk/RWG154421_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG154421_2.jpg,"c(-0.0042040658, -0.0041321496, 51.5455402975, 51.5455404969)"
RWG154423,2017-11-08,1,1,0,0,0,NONE,Newham,https://cycleassetimages.data.tfl.gov.uk/RWG154423_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG154423_2.jpg,"c(-0.0041169727, -0.0041377904, 51.5458794025, 51.5459234314)"
RWG199150,2017-11-28,0,0,0,0,0,NONE,Greenwich,https://cycleassetimages.data.tfl.gov.uk/RWG199150_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG199150_2.jpg,"c(0.0640355507, 0.0639696863, 51.4348810078, 51.4348517051)"
RWG184293,2017-11-07,0,0,0,0,0,NONE,Greenwich,https://cycleassetimages.data.tfl.gov.uk/RWG184293_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG184293_2.jpg,"c(0.0278849765, 0.0278770969, 51.4897170598, 51.4897650449)"
RWG154303,2017-10-18,1,1,0,0,0,NONE,Redbridge,https://cycleassetimages.data.tfl.gov.uk/RWG154303_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG154303_2.jpg,"c(0.0180355246, 0.0180740527, 51.5582085071, 51.5581822354)"
RWG154305,2017-10-18,1,1,0,0,0,GREEN,Redbridge,https://cycleassetimages.data.tfl.gov.uk/RWG154305_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG154305_2.jpg,"c(0.0975351355, 0.0975597937, 51.5640930542, 51.5641193638)"
RWG184294,2017-11-08,0,0,0,0,0,GREEN,Greenwich,https://cycleassetimages.data.tfl.gov.uk/RWG184294_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG184294_2.jpg,"c(1.6124e-06, -5.4875e-05, 51.4836086627, 51.4835915259)"
RWG184295,2017-11-09,0,0,0,0,0,GREEN,Greenwich,https://cycleassetimages.data.tfl.gov.uk/RWG184295_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG184295_2.jpg,"c(-0.0028314318, -0.0028894796, 51.4829137135, 51.4828960635)"
RWG154371,2017-10-25,0,0,0,0,0,GREEN,Redbridge,https://cycleassetimages.data.tfl.gov.uk/RWG154371_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG154371_2.jpg,"c(0.0198862163, 0.0199394141, 51.583249344, 51.5832518645)"
RWG154322,2017-10-20,1,1,0,0,0,GREEN,Newham,https://cycleassetimages.data.tfl.gov.uk/RWG154322_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG154322_2.jpg,"c(0.0472700686, 0.0473217248, 51.5506468182, 51.5506700065)"
