FEATURE_ID,SVDATE,ASL_FDR,ASL_FDRLFT,ASL_FDCENT,ASL_FDRIGH,ASL_SHARED,ASL_COLOUR,BOROUGH,PHOTO1_URL,PHOTO2_URL,geometry,asl_length_m
RWG073131,2017-09-04,0,0,0,0,0,NONE,Hackney,https://cycleassetimages.data.tfl.gov.uk/RWG073131_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG073131_2.jpg,"c(-0.0768837562, -0.0768839289, 51.5347079973, 51.5346718197)",4.02278962786391
RWG073108,2017-07-06,0,0,0,0,0,GREEN,Tower Hamlets,https://cycleassetimages.data.tfl.gov.uk/RWG073108_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG073108_2.jpg,"c(-0.0648982758, -0.0648386158, 51.5264834259, 51.5264939466)",4.28988892023825
RWG073110,2017-07-06,0,0,0,0,0,GREEN,Tower Hamlets,https://cycleassetimages.data.tfl.gov.uk/RWG073110_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG073110_2.jpg,"c(-0.0642419949, -0.0643068673, 51.5264582288, 51.5264509851)",4.55960529692271
RWG073113,2017-07-07,0,0,0,0,0,NONE,Tower Hamlets,https://cycleassetimages.data.tfl.gov.uk/RWG073113_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG073113_2.jpg,"c(-0.0499443719, -0.0499967839, 51.520865098, 51.520923785)",7.46559351188372
RWG082539,2017-07-26,1,1,0,0,0,NONE,Southwark,https://cycleassetimages.data.tfl.gov.uk/RWG082539_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG082539_2.jpg,"c(-0.0915999143, -0.0916303939, 51.4990990245, 51.4991265114)",3.71391014605903
RWG082463,2017-07-24,0,0,0,0,0,NONE,Southwark,https://cycleassetimages.data.tfl.gov.uk/RWG082463_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG082463_2.jpg,"c(-0.070336588, -0.0702743868, 51.4989555869, 51.498927956)",5.28950350435174
RWG082464,2017-07-25,0,0,0,0,0,NONE,Southwark,https://cycleassetimages.data.tfl.gov.uk/RWG082464_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG082464_2.jpg,"c(-0.0736743172, -0.073731483, 51.4867019187, 51.4867225281)",4.57374014024213
RWG082465,2017-07-25,0,0,0,0,0,NONE,Southwark,https://cycleassetimages.data.tfl.gov.uk/RWG082465_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG082465_2.jpg,"c(-0.0955840273, -0.0955639468, 51.4880870983, 51.4880509559)",4.2525621507786
RWG082462,2017-07-24,1,1,0,0,0,GREEN,Southwark,https://cycleassetimages.data.tfl.gov.uk/RWG082462_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG082462_2.jpg,"c(-0.0725211144, -0.0724959391, 51.4861685063, 51.4861940249)",3.3302129987391
RWG150706,2017-07-25,1,1,0,0,0,GREEN,Southwark,https://cycleassetimages.data.tfl.gov.uk/no_asset_photo.png,https://cycleassetimages.data.tfl.gov.uk/no_asset_photo.png,"c(-0.0655089979, -0.0654978113, 51.4893515963, 51.4893941429)",4.79395418970104
RWG082472,2017-07-24,1,1,0,0,0,NONE,Southwark,https://cycleassetimages.data.tfl.gov.uk/RWG082472_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG082472_2.jpg,"c(-0.0536212829, -0.0536135038, 51.4847943958, 51.4847737709)",2.35579613967459
RWG055787,2017-07-22,0,0,0,0,0,NONE,Kensington & Chelsea,https://cycleassetimages.data.tfl.gov.uk/RWG055787_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG055787_2.jpg,"c(-0.1637811148, -0.1637443463, 51.4971877058, 51.4971710432)",3.14823589079067
RWG042433,2017-07-11,1,1,0,0,0,NONE,Kensington & Chelsea,https://cycleassetimages.data.tfl.gov.uk/RWG042433_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG042433_2.jpg,"c(-0.1818427914, -0.1817971619, 51.4816850046, 51.4816950865)",3.35274690579179
