id,lat,lon,location,date,time,borough,mode,year
304439,51.515771,-0.23869,Du Cane Road 70 metres west of junction with Artillery Lane,2017-05-10,16:42:00,Hammersmith & Fulham, PedalCycle,2017
293173,51.515772,-0.100472,Newgate Street A40 junction with Warwick Lane,2017-03-22,18:05:00,City of London, PedalCycle,2017
293129,51.515775,-0.100616,Newgate Street junction with Warwick Lane,2017-09-05,10:07:00,City of London, PedalCycle,2017
665845,51.51578,-0.140813,Great Portland Street 25 metres north of junction with Oxford Street W1w The Nearest C,2017-08-03,21:25:00,Westminster, PedalCycle,2017
321068,51.515784,-0.174841,London Street junction with Praed Street,2018-05-26,19:42:00,Westminster, PedalCycle,2018
370965,51.515801,-0.100557,Newgate Street (A40) At Junction With Warwick Lane,2019-07-21,10:45:00,City of London, PedalCycle,2019
320281,51.515808,-0.097155,St Martins Le Grand junction with Angel Street,2018-05-08,08:25:00,City of London, PedalCycle,2018
305044,51.515808,-0.19963,Ledbury Road junction with Colville Street,2017-04-11,17:10:00,Kensington & Chelsea, PedalCycle,2017
370951,51.515809,-0.100528,Newgate Street (A40) At Junction With Warwick Lane,2019-07-02,08:10:00,City of London, PedalCycle,2019
320291,51.515811,-0.097299,St Martins Le Grand junction with Angel Street,2018-05-08,08:27:00,City of London, PedalCycle,2018
321268,51.515824,-0.160139,Great Cumberland Place 48 metres north of junction with Upper Berkeley Street,2018-06-26,19:00:00,Westminster, PedalCycle,2018
293144,51.515842,-0.104793,Farringdon Street A201 Stonecutter Street A4208,2017-01-24,13:01:00,City of London, PedalCycle,2017
702186,51.515848,-0.237823,Du Cane Road 10 metres west of junction with Artillery Lane,2018-08-18,18:30:00,Hammersmith & Fulham, PedalCycle,2018
351140,51.51586,-0.136212,On Oxford Street London 26 metres west of The Junction With Berne,2019-03-25,18:45:00,Westminster, PedalCycle,2019
666112,51.515864,-0.151201,Wigmore Street junction with Mandeville Place,2017-11-30,08:45:00,Westminster, PedalCycle,2017
