FEATURE_ID,SVDATE,RST_STEPS,RST_LIFT,BOROUGH,PHOTO1_URL,PHOTO2_URL,geometry
RWG292812,2018-04-10,1,0,Harrow,https://cycleassetimages.data.tfl.gov.uk/RWG292812_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG292812_2.jpg,"c(-0.2959649451, 51.6106401553)"
RWG292813,2018-04-11,1,0,Harrow,https://cycleassetimages.data.tfl.gov.uk/RWG292813_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG292813_2.jpg,"c(-0.3238979555, 51.6214636848)"
RWG282091,2018-03-26,1,0,Haringey,https://cycleassetimages.data.tfl.gov.uk/no_asset_photo.png,https://cycleassetimages.data.tfl.gov.uk/RWG282091_2.jpg,"c(-0.0832303378, 51.5767759099)"
RWG282093,2018-03-26,1,0,Haringey,https://cycleassetimages.data.tfl.gov.uk/RWG282093_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG282093_2.jpg,"c(-0.1285241779, 51.6042676408)"
RWG282085,2018-03-22,1,0,Barnet,https://cycleassetimages.data.tfl.gov.uk/no_asset_photo.png,https://cycleassetimages.data.tfl.gov.uk/RWG282085_2.jpg,"c(-0.1838482393, 51.5851015944)"
RWG282086,2018-03-22,1,0,Barnet,https://cycleassetimages.data.tfl.gov.uk/no_asset_photo.png,https://cycleassetimages.data.tfl.gov.uk/RWG282086_2.jpg,"c(-0.1835709213, 51.5850788732)"
RWG282092,2018-03-26,1,0,Barnet,https://cycleassetimages.data.tfl.gov.uk/RWG282092_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG282092_2.jpg,"c(-0.1587142949, 51.6204727106)"
RWG282095,2018-03-26,1,0,Barnet,https://cycleassetimages.data.tfl.gov.uk/RWG282095_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG282095_2.jpg,"c(-0.1443974, 51.6090897109)"
RWG292810,2018-04-10,1,0,Barnet,https://cycleassetimages.data.tfl.gov.uk/RWG292810_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG292810_2.jpg,"c(-0.2837084581, 51.6229416166)"
RWG292817,2018-05-21,1,0,Barnet,https://cycleassetimages.data.tfl.gov.uk/RWG292817_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG292817_2.jpg,"c(-0.2773339377, 51.6214732047)"
RWG282080,2018-02-27,1,0,Haringey,https://cycleassetimages.data.tfl.gov.uk/RWG282080_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG282080_2.jpg,"c(-0.1346436501, 51.5744545871)"
RWG282081,2018-03-06,1,0,Haringey,https://cycleassetimages.data.tfl.gov.uk/RWG282081_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG282081_2.jpg,"c(-0.0593215002, 51.5819941557)"
RWG282082,2018-03-06,1,0,Haringey,https://cycleassetimages.data.tfl.gov.uk/RWG282082_1.jpg,https://cycleassetimages.data.tfl.gov.uk/no_asset_photo.png,"c(-0.0563635968, 51.5842322553)"
RWG292815,2018-04-11,1,0,Harrow,https://cycleassetimages.data.tfl.gov.uk/RWG292815_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG292815_2.jpg,"c(-0.3544994827, 51.6214593561)"
RWG282083,2018-03-06,1,0,Haringey,https://cycleassetimages.data.tfl.gov.uk/RWG282083_1.jpg,https://cycleassetimages.data.tfl.gov.uk/no_asset_photo.png,"c(-0.0564844638, 51.5847827689)"
RWG282098,2018-03-27,1,0,Barnet,https://cycleassetimages.data.tfl.gov.uk/no_asset_photo.png,https://cycleassetimages.data.tfl.gov.uk/RWG282098_2.jpg,"c(-0.201463899, 51.658989599)"
RWG292096,2018-04-24,1,0,Ealing,https://cycleassetimages.data.tfl.gov.uk/RWG292096_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG292096_2.jpg,"c(-0.3769681473, 51.5431769426)"
RWG292094,2018-04-10,1,0,Hillingdon,https://cycleassetimages.data.tfl.gov.uk/RWG292094_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG292094_2.jpg,"c(-0.4717562371, 51.5012663834)"
RWG292090,2018-04-04,1,0,Hillingdon,https://cycleassetimages.data.tfl.gov.uk/RWG292090_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG292090_2.jpg,"c(-0.4174285796, 51.4934662779)"
RWG292093,2018-04-09,1,0,Hillingdon,https://cycleassetimages.data.tfl.gov.uk/RWG292093_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG292093_2.jpg,"c(-0.4436116254, 51.5581716633)"
